timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms
2026-02-09T07:28:09.370Z,beacon,da:d8:e5:b1:af:98,Broadcast,da:d8:e5:b1:af:98,Vaki,-86,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,298
2026-02-09T07:28:09.419Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-79,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,299
2026-02-09T07:28:09.442Z,beacon,7a:f8:cc:e2:5c:c1,Broadcast,7a:f8:cc:e2:5c:c1,Buda,-92,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,299
2026-02-09T07:28:09.450Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-86,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,300
2026-02-09T07:28:09.459Z,beacon,58:fc:20:7e:3e:70,Broadcast,58:fc:20:7e:3e:70,HOTWiFi,-82,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,300
2026-02-09T07:28:09.466Z,beacon,40:ae:30:e2:cc:aa,Broadcast,40:ae:30:e2:cc:aa,ARIE1,-88,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,301
2026-02-09T07:28:09.487Z,beacon,8c:fd:de:84:6b:1e,Broadcast,8c:fd:de:84:6b:1e,Zehavit,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,302
2026-02-09T07:28:09.496Z,beacon,0a:c7:f5:cd:fe:c8,Broadcast,0a:c7:f5:cd:fe:c8,Dank,-69,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,302
2026-02-09T07:28:09.553Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-87,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,302
2026-02-09T07:28:09.564Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,303
2026-02-09T07:28:09.564Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-91,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,303
2026-02-09T07:28:09.565Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-93,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,303
2026-02-09T07:28:09.566Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-89,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,304
2026-02-09T07:28:09.566Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,304
2026-02-09T07:28:09.598Z,beacon,0a:c7:f5:cd:fe:c8,Broadcast,0a:c7:f5:cd:fe:c8,Dank,-70,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,304
2026-02-09T07:28:09.624Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-81,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,305
2026-02-09T07:28:09.638Z,beacon,16:52:d8:fe:35:b9,Broadcast,16:52:d8:fe:35:b9,M-WM-^T-iPhone M-WM-,-82,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,307
2026-02-09T07:28:09.650Z,probe-resp,7c:03:4c:fe:dd:97,40:aa:56:7b:9b:33,7c:03:4c:fe:dd:97,HOTBOX-825A,-83,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,307
2026-02-09T07:28:09.654Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-86,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,308
2026-02-09T07:28:09.671Z,beacon,40:ae:30:e2:cc:aa,Broadcast,40:ae:30:e2:cc:aa,ARIE1,-89,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,308
2026-02-09T07:28:09.678Z,beacon,da:d8:e5:b1:af:98,Broadcast,da:d8:e5:b1:af:98,Vaki,-92,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,309
2026-02-09T07:28:09.691Z,beacon,8c:fd:de:84:6b:1e,Broadcast,8c:fd:de:84:6b:1e,Zehavit,-89,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,309
2026-02-09T07:28:09.703Z,beacon,0a:c7:f5:cd:fe:c8,Broadcast,0a:c7:f5:cd:fe:c8,Dank,-68,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,310
2026-02-09T07:28:09.707Z,beacon,00:f8:cc:fb:1f:90,Broadcast,00:f8:cc:fb:1f:90,HomeSweetHome1,-73,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,310
2026-02-09T07:28:09.711Z,beacon,0a:c7:f5:cd:fe:ca,Broadcast,0a:c7:f5:cd:fe:ca,,-69,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,310
2026-02-09T07:28:09.726Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-81,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,311
2026-02-09T07:28:09.741Z,beacon,16:52:d8:fe:35:b9,Broadcast,16:52:d8:fe:35:b9,M-WM-^T-iPhone M-WM-,-81,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,311
2026-02-09T07:28:09.745Z,beacon,18:6a:81:fc:17:61,Broadcast,18:6a:81:fc:17:61,Egal,-74,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,312
2026-02-09T07:28:09.749Z,beacon,7a:f8:cc:e2:5c:c1,Broadcast,7a:f8:cc:e2:5c:c1,Buda,-92,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,313
2026-02-09T07:28:09.757Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-85,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,313
2026-02-09T07:28:09.765Z,beacon,b0:5b:99:65:c0:14,Broadcast,b0:5b:99:65:c0:14,Egal,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,314
2026-02-09T07:28:09.783Z,beacon,80:20:da:15:78:a7,Broadcast,80:20:da:15:78:a7,Zehavit,-82,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,314
2026-02-09T07:28:09.803Z,beacon,0a:c7:f5:cd:fe:c8,Broadcast,0a:c7:f5:cd:fe:c8,Dank,-69,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,314
2026-02-09T07:28:09.828Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-77,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,315
2026-02-09T07:28:09.834Z,beacon,1c:57:3e:1a:38:c0,Broadcast,1c:57:3e:1a:38:c0,Dolev,-89,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,315
2026-02-09T07:28:09.855Z,beacon,7a:f8:cc:e2:5c:c2,Broadcast,7a:f8:cc:e2:5c:c2,,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,315
2026-02-09T07:28:09.859Z,probe-resp,d6:35:1d:9f:aa:e2,c0:e7:bf:dc:88:e8,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-77,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,315
2026-02-09T07:28:09.893Z,beacon,60:32:b1:77:33:6f,Broadcast,60:32:b1:77:33:6f,VZ,-88,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,316
2026-02-09T07:28:09.931Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-82,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,316
2026-02-09T07:28:09.989Z,beacon,72:d8:e5:b1:af:99,Broadcast,72:d8:e5:b1:af:99,,-90,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,316
2026-02-09T07:28:09.999Z,beacon,8c:fd:de:84:6b:1e,Broadcast,8c:fd:de:84:6b:1e,Zehavit,-87,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,316
2026-02-09T07:28:10.011Z,beacon,0a:c7:f5:cd:fe:ca,Broadcast,0a:c7:f5:cd:fe:ca,,-70,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,317
2026-02-09T07:28:10.020Z,probe-resp,80:20:da:15:78:a7,52:a6:d4:4b:92:16,80:20:da:15:78:a7,Zehavit,-82,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,317
2026-02-09T07:28:10.027Z,probe-resp,0a:c7:f5:cd:fe:c8,52:a6:d4:4b:92:16,0a:c7:f5:cd:fe:c8,Dank,-69,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,317
2026-02-09T07:28:10.048Z,beacon,16:52:d8:fe:35:b9,Broadcast,16:52:d8:fe:35:b9,M-WM-^T-iPhone M-WM-,-79,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,318
2026-02-09T07:28:10.056Z,probe-resp,0a:c7:f5:cd:fe:c8,52:a6:d4:4b:92:16,0a:c7:f5:cd:fe:c8,Dank,-69,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,318
2026-02-09T07:28:10.064Z,probe-resp,80:20:da:15:78:a7,52:a6:d4:4b:92:16,80:20:da:15:78:a7,Zehavit,-83,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,319
2026-02-09T07:28:10.098Z,probe-resp,d6:35:1d:9f:a8:0d,50:41:1c:40:ad:50,d6:35:1d:9f:a8:0d,keren,-87,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,319
2026-02-09T07:28:10.102Z,probe-resp,d6:35:1d:9f:a8:0d,50:41:1c:40:ad:50,d6:35:1d:9f:a8:0d,keren,-86,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,319
2026-02-09T07:28:10.110Z,beacon,0a:c7:f5:cd:fe:c8,Broadcast,0a:c7:f5:cd:fe:c8,Dank,-70,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,319
2026-02-09T07:28:10.115Z,beacon,00:f8:cc:fb:1f:90,Broadcast,00:f8:cc:fb:1f:90,HomeSweetHome1,-72,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,320
2026-02-09T07:28:10.136Z,beacon,d6:35:1d:9f:aa:e2,Broadcast,d6:35:1d:9f:aa:e2,Partner_9F8AE2,-78,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,320
2026-02-09T07:28:10.150Z,beacon,16:52:d8:fe:35:b9,Broadcast,16:52:d8:fe:35:b9,M-WM-^T-iPhone M-WM-,-78,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,320
2026-02-09T07:28:10.166Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-87,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,321
2026-02-09T07:28:10.174Z,beacon,b0:5b:99:65:c0:14,Broadcast,b0:5b:99:65:c0:14,Egal,-88,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,321
2026-02-09T07:28:10.184Z,beacon,40:ae:30:e2:cc:aa,Broadcast,40:ae:30:e2:cc:aa,ARIE1,-86,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,321
2026-02-09T07:28:10.200Z,beacon,60:32:b1:77:33:6f,Broadcast,60:32:b1:77:33:6f,VZ,-92,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,322
2026-02-09T07:28:10.204Z,beacon,8c:fd:de:84:6b:1e,Broadcast,8c:fd:de:84:6b:1e,Zehavit,-88,1,2412,31.2498515,34.80618966666667,285.3,1,8,1.27,322
