timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms
2026-02-09T07:47:52.781Z,unknown,,,,,,1,2412,31.2498015,34.80618966666667,300.3,1,7,1.17,690
2026-02-09T07:47:52.790Z,probe-req,1e:db:00:d4:13:c3,Broadcast,Broadcast,,-85,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,695
2026-02-09T07:47:52.793Z,probe-req,2c:59:8a:58:95:c1,Broadcast,Broadcast,,-68,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,695
2026-02-09T07:47:52.859Z,beacon,0a:c7:f5:cd:fe:ca,Broadcast,0a:c7:f5:cd:fe:ca,,-80,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,695
2026-02-09T07:47:52.873Z,beacon,44:15:24:98:c9:45,Broadcast,44:15:24:98:c9:45,Rachel,-93,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,696
2026-02-09T07:47:52.908Z,beacon,18:6a:81:fc:17:61,Broadcast,18:6a:81:fc:17:61,Egal,-86,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,696
2026-02-09T07:47:52.916Z,beacon,7c:03:4c:fe:dd:97,Broadcast,7c:03:4c:fe:dd:97,HOTBOX-825A,-88,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,696
2026-02-09T07:47:53.068Z,beacon,00:f8:cc:b8:f9:53,Broadcast,00:f8:cc:b8:f9:53,,-88,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,696
2026-02-09T07:47:53.092Z,beacon,16:52:d8:fe:35:b9,Broadcast,16:52:d8:fe:35:b9,M-WM-^T-iPhone M-WM-,-79,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,697
2026-02-09T07:47:53.144Z,beacon,80:20:da:15:78:a7,Broadcast,80:20:da:15:78:a7,Zehavit,-86,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,697
2026-02-09T07:47:53.148Z,beacon,00:f8:cc:fb:1f:90,Broadcast,00:f8:cc:fb:1f:90,HomeSweetHome1,-83,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,697
2026-02-09T07:47:53.160Z,beacon,62:f8:cc:c8:30:02,Broadcast,62:f8:cc:c8:30:02,,-88,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,697
2026-02-09T07:47:53.171Z,beacon,00:f8:cc:b8:f9:53,Broadcast,00:f8:cc:b8:f9:53,,-83,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,698
2026-02-09T07:47:53.174Z,probe-req,24:df:a7:c3:68:b8,Broadcast,Broadcast,M-,-85,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,698
2026-02-09T07:47:53.175Z,probe-req,24:df:a7:c3:68:b8,Broadcast,Broadcast,M-,-85,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,698
2026-02-09T07:47:53.254Z,beacon,60:32:b1:77:33:6f,Broadcast,60:32:b1:77:33:6f,VZ,-76,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,698
2026-02-09T07:47:53.275Z,probe-req,38:01:46:9f:73:e3,Broadcast,Broadcast,,-78,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,699
2026-02-09T07:47:53.282Z,probe-resp,62:f8:cc:c8:30:01,38:01:46:9f:73:e3,62:f8:cc:c8:30:01,oz,-84,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,699
2026-02-09T07:47:53.287Z,probe-resp,62:f8:cc:c8:30:01,38:01:46:9f:73:e3,62:f8:cc:c8:30:01,oz,-84,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,699
2026-02-09T07:47:53.293Z,probe-resp,62:f8:cc:c8:30:01,38:01:46:9f:73:e3,62:f8:cc:c8:30:01,oz,-83,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,699
2026-02-09T07:47:53.317Z,beacon,18:6a:81:fc:17:61,Broadcast,18:6a:81:fc:17:61,Egal,-82,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,700
2026-02-09T07:47:53.332Z,beacon,b2:5b:99:65:c0:15,Broadcast,b2:5b:99:65:c0:15,Egal2.4G,-87,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,700
2026-02-09T07:47:53.345Z,auth,4c:a9:19:11:26:e9,fc:ef:03:10:01:01,fc:ef:03:10:01:01,,-91,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,700
2026-02-09T07:47:53.371Z,beacon,0a:c7:f5:cd:fe:ca,Broadcast,0a:c7:f5:cd:fe:ca,,-84,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,700
2026-02-09T07:47:53.522Z,beacon,18:6a:81:fc:17:61,Broadcast,18:6a:81:fc:17:61,Egal,-87,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,701
2026-02-09T07:47:53.552Z,probe-resp,00:f8:cc:fb:1f:90,fa:46:b0:7f:69:99,00:f8:cc:fb:1f:90,HomeSweetHome1,-82,1,2412,31.249792833333334,34.806195333333335,299.4,1,7,1.17,701
