timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms
2026-01-20T16:18:57.593Z,heartbeat,,,,,,1,2412,,,,0,0,99.99,318
2026-01-20T16:18:55.723Z,beacon,ae:e7:65:bd:91:f3,Broadcast,ae:e7:65:bd:91:f3,,-87,1,2412,,,,0,0,99.99,482
2026-01-20T16:18:55.784Z,probe-req,46:e4:c9:ab:04:66,Broadcast,Broadcast,,-22,1,2412,,,,0,0,99.99,483
2026-01-20T16:18:55.806Z,probe-req,bc:ff:4d:5f:cd:58,Broadcast,Broadcast,Dima,-78,1,2412,,,,0,0,99.99,483
2026-01-20T16:18:55.864Z,beacon,aa:48:fa:cd:a1:47,Broadcast,aa:48:fa:cd:a1:47,ESP-CDA147,-84,1,2412,,,,0,0,99.99,484
2026-01-20T16:18:55.928Z,beacon,ae:e7:65:bd:91:f3,Broadcast,ae:e7:65:bd:91:f3,,-88,1,2412,,,,0,0,99.99,484
2026-01-20T16:18:55.966Z,beacon,aa:48:fa:cd:a1:47,Broadcast,aa:48:fa:cd:a1:47,ESP-CDA147,-84,1,2412,,,,0,0,99.99,485
2026-01-20T16:18:56.235Z,beacon,ae:e7:65:bd:91:f3,Broadcast,ae:e7:65:bd:91:f3,,-88,1,2412,,,,0,0,99.99,485
2026-01-20T16:18:56.273Z,beacon,aa:48:fa:cd:a1:47,Broadcast,aa:48:fa:cd:a1:47,ESP-CDA147,-84,1,2412,,,,0,0,99.99,486
2026-01-20T16:18:56.337Z,beacon,ae:e7:65:bd:91:f3,Broadcast,ae:e7:65:bd:91:f3,,-90,1,2412,,,,0,0,99.99,487
2026-01-20T16:18:56.376Z,beacon,aa:48:fa:cd:a1:47,Broadcast,aa:48:fa:cd:a1:47,ESP-CDA147,-85,1,2412,,,,0,0,99.99,487
